Node ID;Shell index;Betweenness centrality
0;3;0.62
1;6;222.86
2;7;785.55
3;6;66.13
4;2;1.12
5;5;77.55
6;5;25.65
7;6;48.29
8;1;0.00
9;6;432.50
10;4;5.07
11;4;83.77
12;6;55.68
13;5;29.09
14;6;111.82
15;6;98.89
16;3;0.77
17;7;1493.80
18;6;175.64
19;6;42.02
20;4;34.91
21;6;36.29
22;4;63.12
23;6;102.70
24;6;180.97
25;6;117.49
26;6;125.21
27;6;264.76
28;6;206.91
29;3;150.59
30;5;65.49
31;6;119.57
32;6;71.49
33;4;33.42
34;6;89.54
35;5;28.27
36;6;50.07
37;6;124.50
38;6;60.70
39;5;11.64
40;4;15.39
41;6;25.10
42;5;155.53
43;7;594.97
44;6;20.57
45;5;15.74
46;3;1.27
47;5;10.95
48;6;49.12
49;5;7.28
50;7;140.83
51;7;579.24
52;5;48.54
53;5;17.60
54;6;101.63
55;3;2.03
56;4;9.83
57;3;3.30
58;2;8.52
59;6;116.28
60;4;31.17
61;2;0.74
62;2;2.51
63;4;120.98
64;1;0.00
65;5;26.20
66;6;17.68
67;4;5.52
68;6;86.91
69;2;1.10
70;6;87.98
71;4;26.79
72;6;14.88
73;5;41.72
74;1;0.00
75;6;42.18
76;6;131.05
77;3;3.24
78;3;9.69
79;5;324.34
80;6;40.74
81;4;47.52
82;1;0.00
83;5;20.23
84;5;25.57
85;2;1.27
86;2;0.00
87;6;24.35
88;5;11.83
89;4;136.26
90;1;0.00
91;1;0.00
92;4;129.76
93;2;0.00
94;3;3.31
95;1;0.00
96;3;9.63
97;1;0.00
98;4;17.71
99;2;2.58
100;2;31.86
101;2;3.13
102;6;32.11
103;6;41.90
104;6;303.81
105;6;28.52
106;5;26.53
107;2;0.82
108;4;7.87
109;1;0.00
110;2;4.83
111;1;0.00
Spearmans correlation;0.80
