Node ID;Shell index;Closeness centrality
0;3;0.38
1;6;0.47
2;7;0.55
3;6;0.44
4;2;0.32
5;5;0.43
6;5;0.38
7;6;0.44
8;1;0.33
9;6;0.48
10;4;0.35
11;4;0.39
12;6;0.45
13;5;0.41
14;6;0.45
15;6;0.47
16;3;0.34
17;7;0.62
18;6;0.46
19;6;0.40
20;4;0.37
21;6;0.47
22;4;0.41
23;6;0.43
24;6;0.48
25;6;0.48
26;6;0.48
27;6;0.49
28;6;0.45
29;3;0.37
30;5;0.41
31;6;0.47
32;6;0.45
33;4;0.38
34;6;0.44
35;5;0.44
36;6;0.45
37;6;0.43
38;6;0.44
39;5;0.39
40;4;0.36
41;6;0.43
42;5;0.43
43;7;0.51
44;6;0.43
45;5;0.39
46;3;0.36
47;5;0.36
48;6;0.43
49;5;0.39
50;7;0.47
51;7;0.53
52;5;0.43
53;5;0.38
54;6;0.47
55;3;0.33
56;4;0.35
57;3;0.36
58;2;0.32
59;6;0.46
60;4;0.38
61;2;0.35
62;2;0.33
63;4;0.38
64;1;0.28
65;5;0.41
66;6;0.44
67;4;0.42
68;6;0.43
69;2;0.31
70;6;0.45
71;4;0.36
72;6;0.42
73;5;0.41
74;1;0.27
75;6;0.40
76;6;0.42
77;3;0.40
78;3;0.36
79;5;0.41
80;6;0.44
81;4;0.40
82;1;0.38
83;5;0.44
84;5;0.43
85;2;0.39
86;2;0.39
87;6;0.43
88;5;0.41
89;4;0.43
90;1;0.30
91;1;0.32
92;4;0.36
93;2;0.40
94;3;0.32
95;1;0.27
96;3;0.34
97;1;0.35
98;4;0.43
99;2;0.36
100;2;0.36
101;2;0.36
102;6;0.44
103;6;0.44
104;6;0.49
105;6;0.41
106;5;0.39
107;2;0.32
108;4;0.36
109;1;0.29
110;2;0.31
111;1;0.35
Spearmans correlation;0.89
