Node ID;Shell index;Degree
0;3.00;0.04
1;6.00;0.27
2;7.00;0.67
3;6.00;0.17
4;2.00;0.02
5;5.00;0.13
6;5.00;0.10
7;6.00;0.21
8;1.00;0.00
9;6.00;0.33
10;4.00;0.06
11;4.00;0.13
12;6.00;0.19
13;5.00;0.10
14;6.00;0.23
15;6.00;0.23
16;3.00;0.04
17;7.00;1.00
18;6.00;0.27
19;6.00;0.17
20;4.00;0.08
21;6.00;0.19
22;4.00;0.08
23;6.00;0.15
24;6.00;0.29
25;6.00;0.27
26;6.00;0.21
27;6.00;0.29
28;6.00;0.25
29;3.00;0.08
30;5.00;0.10
31;6.00;0.23
32;6.00;0.19
33;4.00;0.08
34;6.00;0.13
35;5.00;0.10
36;6.00;0.13
37;6.00;0.19
38;6.00;0.17
39;5.00;0.08
40;4.00;0.06
41;6.00;0.15
42;5.00;0.13
43;7.00;0.56
44;6.00;0.13
45;5.00;0.10
46;3.00;0.04
47;5.00;0.08
48;6.00;0.19
49;5.00;0.08
50;7.00;0.29
51;7.00;0.56
52;5.00;0.13
53;5.00;0.10
54;6.00;0.25
55;3.00;0.04
56;4.00;0.06
57;3.00;0.04
58;2.00;0.02
59;6.00;0.25
60;4.00;0.08
61;2.00;0.02
62;2.00;0.02
63;4.00;0.08
64;1.00;0.00
65;5.00;0.10
66;6.00;0.13
67;4.00;0.06
68;6.00;0.23
69;2.00;0.02
70;6.00;0.23
71;4.00;0.10
72;6.00;0.13
73;5.00;0.13
74;1.00;0.00
75;6.00;0.19
76;6.00;0.23
77;3.00;0.04
78;3.00;0.04
79;5.00;0.25
80;6.00;0.15
81;4.00;0.10
82;1.00;0.00
83;5.00;0.08
84;5.00;0.10
85;2.00;0.02
86;2.00;0.02
87;6.00;0.19
88;5.00;0.10
89;4.00;0.13
90;1.00;0.00
91;1.00;0.00
92;4.00;0.10
93;2.00;0.02
94;3.00;0.04
95;1.00;0.00
96;3.00;0.04
97;1.00;0.00
98;4.00;0.08
99;2.00;0.02
100;2.00;0.04
101;2.00;0.02
102;6.00;0.19
103;6.00;0.17
104;6.00;0.42
105;6.00;0.13
106;5.00;0.10
107;2.00;0.02
108;4.00;0.06
109;1.00;0.00
110;2.00;0.02
111;1.00;0.00
Spearmans correlation;0.95
