Node ID;Shell index;Eigenvector centrality
0;3;0.01
1;6;0.01
2;7;0.01
3;6;0.01
4;2;0.01
5;5;0.01
6;5;0.01
7;6;0.01
8;1;0.01
9;6;0.01
10;4;0.01
11;4;0.01
12;6;0.01
13;5;0.01
14;6;0.01
15;6;0.01
16;3;0.01
17;7;0.01
18;6;0.01
19;6;0.01
20;4;0.01
21;6;0.01
22;4;0.01
23;6;0.01
24;6;0.01
25;6;0.01
26;6;0.01
27;6;0.01
28;6;0.01
29;3;0.01
30;5;0.01
31;6;0.01
32;6;0.01
33;4;0.01
34;6;0.01
35;5;0.01
36;6;0.01
37;6;0.01
38;6;0.01
39;5;0.01
40;4;0.01
41;6;0.01
42;5;0.01
43;7;0.01
44;6;0.01
45;5;0.01
46;3;0.01
47;5;0.01
48;6;0.01
49;5;0.01
50;7;0.01
51;7;0.01
52;5;0.01
53;5;0.01
54;6;0.01
55;3;0.01
56;4;0.01
57;3;0.01
58;2;0.01
59;6;0.01
60;4;0.01
61;2;0.01
62;2;0.01
63;4;0.01
64;1;0.01
65;5;0.01
66;6;0.01
67;4;0.01
68;6;0.01
69;2;0.01
70;6;0.01
71;4;0.01
72;6;0.01
73;5;0.01
74;1;0.01
75;6;0.01
76;6;0.01
77;3;0.01
78;3;0.01
79;5;0.01
80;6;0.01
81;4;0.01
82;1;0.01
83;5;0.01
84;5;0.01
85;2;0.01
86;2;0.01
87;6;0.01
88;5;0.01
89;4;0.01
90;1;0.01
91;1;0.01
92;4;0.01
93;2;0.01
94;3;0.01
95;1;0.01
96;3;0.01
97;1;0.01
98;4;0.01
99;2;0.01
100;2;0.01
101;2;0.01
102;6;0.01
103;6;0.01
104;6;0.01
105;6;0.01
106;5;0.01
107;2;0.01
108;4;0.01
109;1;0.01
110;2;0.01
111;1;0.01
Spearmans correlation;NaN
