Node ID;Shell index;Closeness centrality
0;3;0.38
1;6;0.47
2;7;0.55
3;6;0.44
4;2;0.32
5;5;0.43
6;5;0.38
7;6;0.44
8;1;0.33
9;6;0.48
10;4;0.35
11;4;0.39
12;6;0.45
13;5;0.41
14;6;0.45
15;6;0.47
16;3;0.34
17;7;0.62
18;6;0.46
19;6;0.40
20;4;0.37
21;6;0.47
22;4;0.41
23;6;0.43
24;6;0.48
25;6;0.48
26;6;0.48
27;6;0.49
28;6;0.45
29;3;0.37
30;5;0.41
31;6;0.47
32;6;0.45
33;4;0.38
34;6;0.44
35;5;0.44
36;6;0.45
37;6;0.43
38;6;0.44
39;5;0.39
40;4;0.36
41;6;0.43
42;5;0.43
43;7;0.51
44;6;0.43
45;5;0.39
46;3;0.36
47;5;0.36
48;6;0.43
49;5;0.39
50;7;0.47
51;7;0.53
52;5;0.43
53;5;0.38
54;6;0.47
55;3;0.33
56;4;0.35
57;3;0.36
58;2;0.32
59;6;0.46
60;4;0.38
61;2;0.35
62;2;0.33
63;4;0.38
64;1;0.28
65;5;0.41
66;6;0.44
67;4;0.42
68;6;0.43
69;2;0.31
70;6;0.45
71;4;0.36
72;6;0.42
73;5;0.41
74;1;0.27
75;6;0.40
76;6;0.42
77;3;0.40
78;3;0.36
79;5;0.41
80;6;0.44
81;4;0.40
82;1;0.38
83;5;0.44
84;5;0.43
85;2;0.39
86;2;0.39
87;6;0.43
88;5;0.41
89;4;0.43
90;1;0.30
91;1;0.32
92;4;0.36
93;2;0.40
94;3;0.32
95;1;0.27
96;3;0.34
97;1;0.35
98;4;0.43
99;2;0.36
100;2;0.36
101;2;0.36
102;6;0.44
103;6;0.44
104;6;0.49
105;6;0.41
106;5;0.39
107;2;0.32
108;4;0.36
109;1;0.29
110;2;0.31
111;1;0.35
0;10;NaN
1;10;NaN
2;11;NaN
3;10;NaN
4;10;NaN
5;10;NaN
6;10;NaN
7;10;NaN
8;10;NaN
9;10;NaN
10;9;NaN
11;9;NaN
12;11;NaN
13;10;NaN
14;10;NaN
15;9;NaN
16;10;NaN
17;8;NaN
18;10;NaN
19;8;NaN
20;10;NaN
21;10;NaN
22;8;NaN
23;10;NaN
24;7;NaN
25;6;NaN
26;7;NaN
27;9;NaN
28;6;NaN
29;8;NaN
30;8;NaN
31;10;NaN
32;8;NaN
33;8;NaN
34;9;NaN
35;10;NaN
36;8;NaN
37;6;NaN
38;8;NaN
39;7;NaN
40;7;NaN
41;9;NaN
42;10;NaN
43;10;NaN
44;10;NaN
45;7;NaN
46;9;NaN
47;10;NaN
48;10;NaN
49;8;NaN
50;10;NaN
51;7;NaN
52;10;NaN
53;9;NaN
54;7;NaN
55;7;NaN
56;7;NaN
57;7;NaN
58;10;NaN
59;10;NaN
60;7;NaN
61;7;NaN
62;8;NaN
63;10;NaN
64;8;NaN
65;9;NaN
66;8;NaN
67;10;NaN
68;8;NaN
69;9;NaN
70;8;NaN
71;10;NaN
72;10;NaN
73;10;NaN
74;10;NaN
75;10;NaN
76;8;NaN
77;10;NaN
78;7;NaN
79;5;NaN
80;2;NaN
81;3;NaN
82;8;NaN
83;8;NaN
84;11;NaN
85;10;NaN
86;11;NaN
87;10;NaN
88;6;NaN
89;9;NaN
90;10;NaN
91;10;NaN
92;5;NaN
93;10;NaN
94;4;NaN
95;10;NaN
96;7;NaN
97;9;NaN
98;10;NaN
99;9;NaN
100;8;NaN
101;10;NaN
102;10;NaN
103;10;NaN
104;8;NaN
105;10;NaN
106;10;NaN
107;9;NaN
108;10;NaN
109;10;NaN
110;8;NaN
111;10;NaN
112;8;0.44
113;9;0.38
114;10;0.46
115;9;0.35
116;10;0.43
117;10;0.47
118;11;0.48
119;11;0.46
120;8;0.40
121;10;0.43
122;9;0.36
123;10;0.42
124;9;0.35
125;11;0.48
126;4;0.29
127;7;0.37
128;4;0.29
129;10;0.42
130;10;0.50
131;10;0.41
132;10;0.49
133;10;0.45
134;6;0.34
135;9;0.36
136;8;0.34
137;10;0.49
138;9;0.39
139;8;0.35
140;6;0.33
141;8;0.37
142;10;0.49
143;5;0.32
144;2;0.30
145;10;0.42
146;5;0.35
147;5;0.33
148;10;0.40
149;10;0.42
150;9;0.39
151;10;0.47
152;8;0.45
153;9;0.44
154;9;0.45
155;10;0.46
156;10;0.45
157;10;0.46
158;9;0.44
159;10;0.45
160;10;0.46
161;10;0.45
162;10;0.45
163;10;0.46
164;7;0.44
165;7;0.43
166;9;0.45
167;9;0.44
168;10;0.46
169;9;0.45
170;9;0.40
171;9;0.42
172;11;0.48
173;10;0.42
174;6;0.40
175;7;0.44
176;9;0.44
177;9;0.45
178;10;0.45
179;10;0.45
180;10;0.46
181;9;0.44
182;9;0.46
183;5;0.43
184;9;0.39
185;9;0.42
186;7;0.41
187;10;0.47
188;7;0.42
189;10;0.45
190;10;0.42
191;10;0.48
192;9;0.44
193;10;0.43
194;9;0.39
195;10;0.50
196;7;0.43
197;10;0.43
198;10;0.42
199;10;0.45
200;10;0.42
201;10;0.43
202;10;0.46
203;10;0.45
204;10;0.49
205;10;0.43
206;10;0.41
207;10;0.48
208;6;0.33
209;10;0.45
210;10;0.44
211;8;0.40
212;7;0.40
213;10;0.44
214;10;0.45
215;10;0.40
216;10;0.41
217;9;0.38
218;10;0.42
219;10;0.43
220;8;0.39
221;9;0.41
222;3;0.33
223;3;0.33
224;10;0.44
225;10;0.42
226;11;0.44
227;9;0.40
228;8;0.39
229;7;0.36
230;8;0.39
231;10;0.41
232;10;0.43
233;10;0.42
234;9;0.39
235;5;0.35
236;7;0.36
237;7;0.39
238;9;0.42
239;9;0.40
240;6;0.37
241;8;0.42
242;1;0.29
243;1;0.29
244;9;0.43
245;10;0.43
246;7;0.40
247;5;0.38
248;5;0.38
249;7;0.39
250;5;0.41
251;2;0.38
252;6;0.35
253;8;0.43
254;6;0.42
255;8;0.39
256;8;0.39
257;8;0.39
258;6;0.39
259;6;0.37
260;1;0.33
261;6;0.40
262;4;0.41
263;5;0.41
264;4;0.41
265;5;0.41
266;4;0.41
267;5;0.41
268;7;0.39
269;9;0.40
270;4;0.38
271;7;0.39
272;5;0.39
273;7;0.39
274;4;0.38
275;9;0.40
276;7;0.40
277;7;0.39
278;7;0.38
279;4;0.38
280;3;0.38
281;2;0.38
282;6;0.40
283;7;0.41
284;9;0.42
285;1;0.37
286;1;0.37
287;1;0.37
288;1;0.37
289;1;0.37
290;1;0.37
291;1;0.37
292;1;0.37
293;1;0.37
294;1;0.37
295;1;0.29
296;1;0.29
