Node ID;Shell index;Closeness centrality
0;3.00;0.31
1;6.00;0.58
2;7.00;0.80
3;6.00;0.49
4;2.00;0.15
5;5.00;0.46
6;5.00;0.33
7;6.00;0.50
8;1.00;0.17
9;6.00;0.62
10;4.00;0.23
11;4.00;0.36
12;6.00;0.51
13;5.00;0.42
14;6.00;0.52
15;6.00;0.58
16;3.00;0.21
17;7.00;1.00
18;6.00;0.55
19;6.00;0.38
20;4.00;0.30
21;6.00;0.58
22;4.00;0.42
23;6.00;0.46
24;6.00;0.60
25;6.00;0.60
26;6.00;0.62
27;6.00;0.63
28;6.00;0.52
29;3.00;0.29
30;5.00;0.41
31;6.00;0.59
32;6.00;0.53
33;4.00;0.32
34;6.00;0.50
35;5.00;0.49
36;6.00;0.51
37;6.00;0.46
38;6.00;0.51
39;5.00;0.35
40;4.00;0.25
41;6.00;0.47
42;5.00;0.45
43;7.00;0.70
44;6.00;0.47
45;5.00;0.35
46;3.00;0.27
47;5.00;0.27
48;6.00;0.48
49;5.00;0.35
50;7.00;0.59
51;7.00;0.74
52;5.00;0.45
53;5.00;0.31
54;6.00;0.58
55;3.00;0.18
56;4.00;0.23
57;3.00;0.28
58;2.00;0.16
59;6.00;0.54
60;4.00;0.33
61;2.00;0.24
62;2.00;0.19
63;4.00;0.32
64;1.00;0.02
65;5.00;0.41
66;6.00;0.51
67;4.00;0.43
68;6.00;0.47
69;2.00;0.13
70;6.00;0.51
71;4.00;0.26
72;6.00;0.43
73;5.00;0.41
74;1.00;0.01
75;6.00;0.39
76;6.00;0.42
77;3.00;0.38
78;3.00;0.27
79;5.00;0.40
80;6.00;0.50
81;4.00;0.37
82;1.00;0.33
83;5.00;0.49
84;5.00;0.45
85;2.00;0.35
86;2.00;0.35
87;6.00;0.45
88;5.00;0.42
89;4.00;0.46
90;1.00;0.09
91;1.00;0.15
92;4.00;0.28
93;2.00;0.39
94;3.00;0.15
95;1.00;0.00
96;3.00;0.22
97;1.00;0.25
98;4.00;0.48
99;2.00;0.26
100;2.00;0.26
101;2.00;0.25
102;6.00;0.48
103;6.00;0.50
104;6.00;0.63
105;6.00;0.40
106;5.00;0.34
107;2.00;0.14
108;4.00;0.25
109;1.00;0.07
110;2.00;0.11
111;1.00;0.25
0;10.00;0.36
1;10.00;0.49
2;11.00;0.73
3;10.00;0.68
4;10.00;0.68
5;10.00;0.39
6;10.00;0.48
7;10.00;0.45
8;10.00;0.47
9;10.00;0.39
10;9.00;0.30
11;9.00;0.38
12;11.00;0.75
13;10.00;0.48
14;10.00;0.53
15;9.00;0.35
16;10.00;0.46
17;8.00;0.41
18;10.00;0.35
19;8.00;0.27
20;10.00;0.45
21;10.00;0.45
22;8.00;0.30
23;10.00;0.51
24;7.00;0.43
25;6.00;0.27
26;7.00;0.35
27;9.00;0.38
28;6.00;0.16
29;8.00;0.42
30;8.00;0.25
31;10.00;0.37
32;8.00;0.25
33;8.00;0.28
34;9.00;0.50
35;10.00;0.51
