Node ID;Shell index;Degree
0;3.00;0.04
1;6.00;0.27
2;7.00;0.67
3;6.00;0.17
4;2.00;0.02
5;5.00;0.13
6;5.00;0.10
7;6.00;0.21
8;1.00;0.00
9;6.00;0.33
10;4.00;0.06
11;4.00;0.13
12;6.00;0.19
13;5.00;0.10
14;6.00;0.23
15;6.00;0.23
16;3.00;0.04
17;7.00;1.00
18;6.00;0.27
19;6.00;0.17
20;4.00;0.08
21;6.00;0.19
22;4.00;0.08
23;6.00;0.15
24;6.00;0.29
25;6.00;0.27
26;6.00;0.21
27;6.00;0.29
28;6.00;0.25
29;3.00;0.08
30;5.00;0.10
31;6.00;0.23
32;6.00;0.19
33;4.00;0.08
34;6.00;0.13
35;5.00;0.10
36;6.00;0.13
37;6.00;0.19
38;6.00;0.17
39;5.00;0.08
40;4.00;0.06
41;6.00;0.15
42;5.00;0.13
43;7.00;0.56
44;6.00;0.13
45;5.00;0.10
46;3.00;0.04
47;5.00;0.08
48;6.00;0.19
49;5.00;0.08
50;7.00;0.29
51;7.00;0.56
52;5.00;0.13
53;5.00;0.10
54;6.00;0.25
55;3.00;0.04
56;4.00;0.06
57;3.00;0.04
58;2.00;0.02
59;6.00;0.25
60;4.00;0.08
61;2.00;0.02
62;2.00;0.02
63;4.00;0.08
64;1.00;0.00
65;5.00;0.10
66;6.00;0.13
67;4.00;0.06
68;6.00;0.23
69;2.00;0.02
70;6.00;0.23
71;4.00;0.10
72;6.00;0.13
73;5.00;0.13
74;1.00;0.00
75;6.00;0.19
76;6.00;0.23
77;3.00;0.04
78;3.00;0.04
79;5.00;0.25
80;6.00;0.15
81;4.00;0.10
82;1.00;0.00
83;5.00;0.08
84;5.00;0.10
85;2.00;0.02
86;2.00;0.02
87;6.00;0.19
88;5.00;0.10
89;4.00;0.13
90;1.00;0.00
91;1.00;0.00
92;4.00;0.10
93;2.00;0.02
94;3.00;0.04
95;1.00;0.00
96;3.00;0.04
97;1.00;0.00
98;4.00;0.08
99;2.00;0.02
100;2.00;0.04
101;2.00;0.02
102;6.00;0.19
103;6.00;0.17
104;6.00;0.42
105;6.00;0.13
106;5.00;0.10
107;2.00;0.02
108;4.00;0.06
109;1.00;0.00
110;2.00;0.02
111;1.00;0.00
0;10.00;0.08
1;10.00;0.21
2;11.00;0.55
3;10.00;0.38
4;10.00;0.40
5;10.00;0.10
6;10.00;0.26
7;10.00;0.13
8;10.00;0.14
9;10.00;0.12
10;9.00;0.09
11;9.00;0.08
12;11.00;0.57
13;10.00;0.23
14;10.00;0.17
15;9.00;0.11
16;10.00;0.14
17;8.00;0.07
18;10.00;0.11
19;8.00;0.08
20;10.00;0.14
21;10.00;0.15
22;8.00;0.11
23;10.00;0.14
24;7.00;0.05
25;6.00;0.04
26;7.00;0.05
27;9.00;0.14
28;6.00;0.04
29;8.00;0.07
30;8.00;0.08
31;10.00;0.15
32;8.00;0.08
33;8.00;0.10
34;9.00;0.08
35;10.00;0.12
36;8.00;0.06
37;6.00;0.04
38;8.00;0.06
39;7.00;0.07
40;7.00;0.05
41;9.00;0.10
42;10.00;0.17
43;10.00;0.12
44;10.00;1.00
45;7.00;0.05
46;9.00;0.11
47;10.00;0.14
48;10.00;0.17
49;8.00;0.10
50;10.00;0.12
51;7.00;0.07
52;10.00;0.12
53;9.00;0.08
54;7.00;0.05
55;7.00;0.05
56;7.00;0.05
57;7.00;0.06
58;10.00;0.17
59;10.00;0.23
60;7.00;0.05
61;7.00;0.06
62;8.00;0.08
63;10.00;0.19
64;8.00;0.09
65;9.00;0.08
66;8.00;0.08
67;10.00;0.15
68;8.00;0.06
69;9.00;0.08
70;8.00;0.07
71;10.00;0.15
72;10.00;0.11
73;10.00;0.13
74;10.00;0.14
75;10.00;0.11
76;8.00;0.05
77;10.00;0.11
78;7.00;0.05
79;5.00;0.03
80;2.00;0.01
81;3.00;0.02
82;8.00;0.06
83;8.00;0.06
84;11.00;0.39
85;10.00;0.11
86;11.00;0.39
87;10.00;0.15
88;6.00;0.04
89;9.00;0.08
90;10.00;0.19
91;10.00;0.09
92;5.00;0.03
93;10.00;0.16
94;4.00;0.02
95;10.00;0.11
96;7.00;0.05
97;9.00;0.12
98;10.00;0.22
99;9.00;0.07
100;8.00;0.06
101;10.00;0.12
102;10.00;0.14
103;10.00;0.15
104;8.00;0.08
105;10.00;0.12
106;10.00;0.10
107;9.00;0.08
108;10.00;0.14
109;10.00;0.12
110;8.00;0.07
111;10.00;0.16
112;8.00;0.08
113;9.00;0.11
114;10.00;0.24
115;9.00;0.11
116;10.00;0.11
117;10.00;0.36
118;11.00;0.39
119;11.00;0.21
120;8.00;0.07
121;10.00;0.11
122;9.00;0.11
123;10.00;0.15
124;9.00;0.08
125;11.00;0.38
126;4.00;0.02
127;7.00;0.06
128;4.00;0.02
129;10.00;0.10
130;10.00;0.21
131;10.00;0.08
132;10.00;0.18
133;10.00;0.11
134;6.00;0.05
135;9.00;0.11
136;8.00;0.05
137;10.00;0.34
138;9.00;0.08
139;8.00;0.08
140;6.00;0.04
141;8.00;0.07
142;10.00;0.27
143;5.00;0.03
144;2.00;0.01
145;10.00;0.16
146;5.00;0.03
147;5.00;0.04
148;10.00;0.13
149;10.00;0.12
150;9.00;0.09
151;10.00;0.11
152;8.00;0.08
153;9.00;0.08
154;9.00;0.07
155;10.00;0.08
156;10.00;0.07
157;10.00;0.09
158;9.00;0.06
159;10.00;0.08
160;10.00;0.11
161;10.00;0.09
162;10.00;0.10
163;10.00;0.11
164;7.00;0.07
165;7.00;0.07
166;9.00;0.11
167;9.00;0.10
