Node ID;Shell index;Eigenvector centrality
0;3;0.01
1;6;0.01
2;7;0.01
3;6;0.01
4;2;0.01
5;5;0.01
6;5;0.01
7;6;0.01
8;1;0.01
9;6;0.01
10;4;0.01
11;4;0.01
12;6;0.01
13;5;0.01
14;6;0.01
15;6;0.01
16;3;0.01
17;7;0.01
18;6;0.01
19;6;0.01
20;4;0.01
21;6;0.01
22;4;0.01
23;6;0.01
24;6;0.01
25;6;0.01
26;6;0.01
27;6;0.01
28;6;0.01
29;3;0.01
30;5;0.01
31;6;0.01
32;6;0.01
33;4;0.01
34;6;0.01
35;5;0.01
36;6;0.01
37;6;0.01
38;6;0.01
39;5;0.01
40;4;0.01
41;6;0.01
42;5;0.01
43;7;0.01
44;6;0.01
45;5;0.01
46;3;0.01
47;5;0.01
48;6;0.01
49;5;0.01
50;7;0.01
51;7;0.01
52;5;0.01
53;5;0.01
54;6;0.01
55;3;0.01
56;4;0.01
57;3;0.01
58;2;0.01
59;6;0.01
60;4;0.01
61;2;0.01
62;2;0.01
63;4;0.01
64;1;0.01
65;5;0.01
66;6;0.01
67;4;0.01
68;6;0.01
69;2;0.01
70;6;0.01
71;4;0.01
72;6;0.01
73;5;0.01
74;1;0.01
75;6;0.01
76;6;0.01
77;3;0.01
78;3;0.01
79;5;0.01
80;6;0.01
81;4;0.01
82;1;0.01
83;5;0.01
84;5;0.01
85;2;0.01
86;2;0.01
87;6;0.01
88;5;0.01
89;4;0.01
90;1;0.01
91;1;0.01
92;4;0.01
93;2;0.01
94;3;0.01
95;1;0.01
96;3;0.01
97;1;0.01
98;4;0.01
99;2;0.01
100;2;0.01
101;2;0.01
102;6;0.01
103;6;0.01
104;6;0.01
105;6;0.01
106;5;0.01
107;2;0.01
108;4;0.01
109;1;0.01
110;2;0.01
111;1;0.01
0;10;0.00
1;10;0.00
2;11;0.00
3;10;0.00
4;10;0.00
5;10;0.00
6;10;0.00
7;10;0.00
8;10;0.00
9;10;0.00
10;9;0.00
11;9;0.00
12;11;0.00
13;10;0.00
14;10;0.00
15;9;0.00
16;10;0.00
17;8;0.00
18;10;0.00
19;8;0.00
20;10;0.00
21;10;0.00
22;8;0.00
23;10;0.00
24;7;0.00
25;6;0.00
26;7;0.00
27;9;0.00
28;6;0.00
29;8;0.00
30;8;0.00
31;10;0.00
32;8;0.00
33;8;0.00
34;9;0.00
35;10;0.00
36;8;0.00
37;6;0.00
38;8;0.00
39;7;0.00
40;7;0.00
41;9;0.00
42;10;0.00
43;10;0.00
44;10;0.00
45;7;0.00
46;9;0.00
47;10;0.00
48;10;0.00
49;8;0.00
50;10;0.00
51;7;0.00
52;10;0.00
53;9;0.00
54;7;0.00
55;7;0.00
56;7;0.00
57;7;0.00
58;10;0.00
59;10;0.00
60;7;0.00
61;7;0.00
62;8;0.00
63;10;0.00
64;8;0.00
65;9;0.00
66;8;0.00
67;10;0.00
68;8;0.00
69;9;0.00
70;8;0.00
71;10;0.00
72;10;0.00
73;10;0.00
74;10;0.00
75;10;0.00
76;8;0.00
77;10;0.00
78;7;0.00
79;5;0.00
80;2;0.00
81;3;0.00
82;8;0.00
83;8;0.00
84;11;0.00
85;10;0.00
86;11;0.00
87;10;0.00
88;6;0.00
89;9;0.00
90;10;0.00
91;10;0.00
92;5;0.00
93;10;0.00
94;4;0.00
95;10;0.00
96;7;0.00
97;9;0.00
98;10;0.00
99;9;0.00
100;8;0.00
101;10;0.00
102;10;0.00
103;10;0.00
104;8;0.00
105;10;0.00
106;10;0.00
107;9;0.00
108;10;0.00
109;10;0.00
110;8;0.00
111;10;0.00
112;8;0.00
113;9;0.00
114;10;0.00
115;9;0.00
116;10;0.00
117;10;0.00
118;11;0.00
119;11;0.00
120;8;0.00
121;10;0.00
122;9;0.00
123;10;0.00
124;9;0.00
125;11;0.00
126;4;0.00
127;7;0.00
128;4;0.00
129;10;0.00
130;10;0.00
131;10;0.00
132;10;0.00
133;10;0.00
134;6;0.00
135;9;0.00
136;8;0.00
137;10;0.00
138;9;0.00
139;8;0.00
140;6;0.00
141;8;0.00
142;10;0.00
143;5;0.00
144;2;0.00
145;10;0.00
146;5;0.00
147;5;0.00
148;10;0.00
149;10;0.00
150;9;0.00
151;10;0.00
152;8;0.00
153;9;0.00
154;9;0.00
155;10;0.00
156;10;0.00
157;10;0.00
158;9;0.00
159;10;0.00
160;10;0.00
161;10;0.00
162;10;0.00
163;10;0.00
164;7;0.00
165;7;0.00
166;9;0.00
167;9;0.00
168;10;0.00
169;9;0.00
170;9;0.00
171;9;0.00
172;11;0.00
173;10;0.00
174;6;0.00
175;7;0.00
176;9;0.00
177;9;0.00
178;10;0.00
179;10;0.00
180;10;0.00
181;9;0.00
182;9;0.00
183;5;0.00
184;9;0.00
185;9;0.00
186;7;0.00
187;10;0.00
188;7;0.00
189;10;0.00
190;10;0.00
191;10;0.00
192;9;0.00
193;10;0.00
194;9;0.00
195;10;0.00
196;7;0.00
197;10;0.00
198;10;0.00
199;10;0.00
200;10;0.00
201;10;0.00
202;10;0.00
203;10;0.00
204;10;0.00
205;10;0.00
206;10;0.00
207;10;0.00
208;6;0.00
209;10;0.00
210;10;0.00
211;8;0.00
212;7;0.00
213;10;0.00
214;10;0.00
215;10;0.00
216;10;0.00
217;9;0.00
218;10;0.00
219;10;0.00
220;8;0.00
221;9;0.00
222;3;0.00
223;3;0.00
224;10;0.00
225;10;0.00
226;11;0.00
227;9;0.00
228;8;0.00
229;7;0.00
230;8;0.00
231;10;0.00
232;10;0.00
233;10;0.00
234;9;0.00
235;5;0.00
236;7;0.00
237;7;0.00
238;9;0.00
239;9;0.00
240;6;0.00
241;8;0.00
242;1;0.00
