Node ID;Shell index;Betweenness centrality
0;3;0.62
1;6;222.86
2;7;785.55
3;6;66.13
4;2;1.12
5;5;77.55
6;5;25.65
7;6;48.29
8;1;0.00
9;6;432.50
10;4;5.07
11;4;83.77
12;6;55.68
13;5;29.09
14;6;111.82
15;6;98.89
16;3;0.77
17;7;1493.80
18;6;175.64
19;6;42.02
20;4;34.91
21;6;36.29
22;4;63.12
23;6;102.70
24;6;180.97
25;6;117.49
26;6;125.21
27;6;264.76
28;6;206.91
29;3;150.59
30;5;65.49
31;6;119.57
32;6;71.49
33;4;33.42
34;6;89.54
35;5;28.27
36;6;50.07
37;6;124.50
38;6;60.70
39;5;11.64
40;4;15.39
41;6;25.10
42;5;155.53
43;7;594.97
44;6;20.57
45;5;15.74
46;3;1.27
47;5;10.95
48;6;49.12
49;5;7.28
50;7;140.83
51;7;579.24
52;5;48.54
53;5;17.60
54;6;101.63
55;3;2.03
56;4;9.83
57;3;3.30
58;2;8.52
59;6;116.28
60;4;31.17
61;2;0.74
62;2;2.51
63;4;120.98
64;1;0.00
65;5;26.20
66;6;17.68
67;4;5.52
68;6;86.91
69;2;1.10
70;6;87.98
71;4;26.79
72;6;14.88
73;5;41.72
74;1;0.00
75;6;42.18
76;6;131.05
77;3;3.24
78;3;9.69
79;5;324.34
80;6;40.74
81;4;47.52
82;1;0.00
83;5;20.23
84;5;25.57
85;2;1.27
86;2;0.00
87;6;24.35
88;5;11.83
89;4;136.26
90;1;0.00
91;1;0.00
92;4;129.76
93;2;0.00
94;3;3.31
95;1;0.00
96;3;9.63
97;1;0.00
98;4;17.71
99;2;2.58
100;2;31.86
101;2;3.13
102;6;32.11
103;6;41.90
104;6;303.81
105;6;28.52
106;5;26.53
107;2;0.82
108;4;7.87
109;1;0.00
110;2;4.83
111;1;0.00
0;10;52.98
1;10;687.32
2;11;2096.36
3;10;1245.86
4;10;1360.60
5;10;132.98
6;10;806.61
7;10;205.43
8;10;178.61
9;10;121.55
10;9;211.04
11;9;84.29
12;11;2514.38
13;10;611.63
14;10;521.38
15;9;122.27
16;10;308.89
17;8;134.67
18;10;80.04
19;8;133.43
20;10;208.46
21;10;348.09
22;8;146.22
23;10;247.42
24;7;73.62
25;6;41.90
26;7;53.07
27;9;273.45
28;6;27.36
29;8;115.79
30;8;36.92
31;10;166.51
32;8;57.36
33;8;111.22
34;9;153.84
35;10;260.16
36;8;147.67
37;6;36.64
38;8;72.94
39;7;141.12
40;7;65.44
41;9;99.47
42;10;398.06
43;10;178.54
44;10;13246.32
45;7;64.97
46;9;230.96
47;10;168.87
48;10;264.18
49;8;206.16
50;10;134.66
51;7;127.42
52;10;176.95
53;9;50.83
54;7;30.90
55;7;30.82
56;7;72.84
57;7;23.43
58;10;231.22
59;10;720.27
60;7;77.13
61;7;81.43
62;8;57.55
63;10;512.53
64;8;170.44
65;9;45.15
66;8;38.99
67;10;212.25
68;8;34.13
69;9;64.17
70;8;48.80
71;10;220.64
72;10;205.00
73;10;227.11
74;10;252.52
75;10;117.36
76;8;7.18
77;10;183.69
78;7;66.17
79;5;47.31
80;2;12.60
81;3;19.69
82;8;20.12
83;8;30.78
84;11;1069.80
85;10;260.10
86;11;1167.50
87;10;356.61
88;6;52.84
89;9;207.25
90;10;210.35
91;10;107.57
92;5;14.51
93;10;637.66
94;4;21.98
95;10;150.92
96;7;152.97
97;9;93.78
98;10;282.27
99;9;95.42
100;8;33.00
101;10;247.17
102;10;391.40
103;10;201.49
104;8;332.02
105;10;136.38
106;10;87.30
107;9;171.72
108;10;274.76
109;10;253.97
110;8;63.18
111;10;234.84
112;8;284.13
113;9;122.94
114;10;785.50
115;9;203.82
116;10;141.47
117;10;583.66
118;11;787.52
119;11;230.62
120;8;68.17
121;10;253.54
122;9;106.78
123;10;176.08
124;9;31.27
125;11;1092.80
126;4;2.58
127;7;129.02
128;4;2.94
129;10;32.07
130;10;426.37
131;10;138.87
132;10;336.88
133;10;137.79
134;6;71.09
135;9;128.80
136;8;8.34
137;10;1359.91
138;9;139.33
139;8;87.81
140;6;11.62
141;8;121.64
142;10;1032.52
143;5;1.84
144;2;0.00
145;10;481.28
146;5;9.74
147;5;12.84
148;10;234.70
149;10;222.31
150;9;157.93
151;10;70.63
152;8;76.78
153;9;36.78
154;9;36.07
155;10;23.66
156;10;20.46
157;10;51.95
158;9;31.24
159;10;53.83
160;10;46.87
161;10;33.68
162;10;69.89
163;10;103.27
164;7;71.05
165;7;36.60
166;9;82.23
167;9;100.44
168;10;110.77
169;9;227.27
170;9;15.45
171;9;71.83
172;11;1121.97
173;10;23.68
174;6;16.29
175;7;53.98
176;9;49.28
177;9;285.29
178;10;81.92
179;10;37.74
180;10;30.69
181;9;37.54
182;9;56.05
183;5;15.21
184;9;22.33
185;9;85.79
186;7;35.70
187;10;310.10
188;7;46.27
189;10;77.11
190;10;1942.41
191;10;1151.94
192;9;81.82
193;10;163.64
194;9;3.61
195;10;679.76
196;7;10.27
197;10;41.34
198;10;150.47
199;10;195.32
200;10;105.97
201;10;99.90
202;10;220.38
203;10;132.88
204;10;505.18
205;10;254.53
206;10;60.30
207;10;488.82
208;6;36.84
209;10;132.83
210;10;60.85
211;8;33.75
212;7;23.16
213;10;255.52
214;10;112.76
215;10;41.26
216;10;77.48
217;9;19.77
218;10;246.72
219;10;107.60
220;8;20.02
221;9;8.02
222;3;0.94
223;3;1.55
224;10;85.57
225;10;132.38
226;11;230.47
227;9;13.14
228;8;28.75
229;7;10.20
230;8;4.36
231;10;27.79
232;10;47.12
233;10;78.85
234;9;8.68
235;5;6.28
236;7;13.70
237;7;2.18
238;9;32.67
239;9;19.72
240;6;34.64
241;8;53.76
242;1;0.00
243;1;0.00
244;9;21.24
245;10;188.01
246;7;58.27
247;5;14.69
248;5;14.49
249;7;4.53
250;5;1.83
251;2;0.00
252;6;22.68
253;8;73.08
254;6;12.25
255;8;18.84
256;8;29.29
257;8;23.21
258;6;4.22
259;6;9.86
260;1;0.00
261;6;4.82
262;4;5.58
263;5;8.95
264;4;7.20
265;5;10.95
266;4;7.65
267;5;14.74
268;7;10.84
269;9;18.15
270;4;0.13
271;7;14.59
272;5;0.56
273;7;13.69
274;4;0.14
275;9;20.57
276;7;34.97
277;7;26.21
278;7;6.13
279;4;1.10
280;3;0.25
281;2;0.00
282;6;1.95
283;7;16.73
284;9;121.69
285;1;0.00
286;1;0.00
287;1;0.00
288;1;0.00
289;1;0.00
290;1;0.00
291;1;0.00
292;1;0.00
293;1;0.00
294;1;0.00
295;1;0.00
296;1;0.00
0;8;209.27
1;8;113.50
2;8;84.52
3;8;148.59
4;8;68.69
5;8;68.67
6;8;126.77
7;8;93.80
8;8;32.26
9;8;76.20
10;8;44.49
11;8;73.43
12;8;65.34
13;8;111.37
14;8;45.57
15;8;134.59
16;8;143.08
17;8;106.93
18;8;54.70
19;8;62.86
20;8;148.44
21;8;142.52
22;8;43.36
23;8;48.88
24;8;133.33
25;8;114.54
26;8;109.52
27;8;68.66
28;8;117.05
29;8;58.15
30;8;97.17
31;8;54.22
32;8;95.82
33;8;47.37
34;8;51.69
35;8;99.68
36;8;85.06
37;8;58.81
38;8;162.23
39;8;68.94
40;8;90.06
41;8;41.47
42;7;50.17
43;8;87.57
44;8;92.57
45;8;73.71
46;9;66.68
47;8;97.27
48;8;114.58
49;9;63.02
50;8;92.57
51;8;96.00
52;8;63.45
53;8;106.67
54;8;25.16
55;8;75.58
56;8;61.45
57;8;66.86
58;8;185.65
59;8;69.99
60;8;97.92
61;8;133.69
62;8;91.45
63;8;117.78
64;8;131.17
65;8;65.02
66;8;68.92
67;9;76.07
68;8;69.28
69;8;155.48
70;8;97.84
71;8;80.94
72;8;104.96
73;9;52.28
74;8;65.50
75;8;75.23
76;8;38.30
77;8;76.65
78;8;35.57
79;8;52.63
80;8;187.83
81;8;74.13
82;8;215.99
83;9;42.75
84;8;47.87
85;8;51.75
86;8;79.72
87;8;91.46
88;8;129.33
89;8;110.51
90;8;55.52
91;8;106.53
92;8;153.53
93;8;89.87
94;8;34.25
95;8;44.62
96;8;44.70
97;8;66.89
98;8;91.08
99;8;58.37
100;8;75.88
101;8;117.79
102;8;102.59
103;8;87.19
104;8;121.22
105;8;28.16
106;8;132.03
107;8;66.73
108;8;19.34
109;8;57.69
110;8;92.56
111;8;48.41
112;8;74.60
113;8;41.85
114;8;66.00
0;4;39.81
1;4;0.26
2;4;2.79
3;6;407.55
4;4;337.04
5;4;68.99
6;5;301.53
7;5;368.09
8;6;401.21
9;6;527.00
10;6;180.67
11;6;156.84
12;6;510.22
13;6;96.55
14;6;315.16
15;4;4.12
16;3;0.00
17;5;0.66
18;3;0.26
19;4;195.71
20;6;140.48
21;5;0.67
22;5;38.33
23;6;10.43
24;6;26.56
25;5;4.47
26;6;32.01
27;6;15.48
28;3;20.56
29;4;51.91
30;6;747.05
31;6;170.55
32;5;0.98
33;6;7.18
34;5;1.20
35;6;44.74
36;5;16.58
37;6;19.49
38;6;14.10
39;6;32.80
40;6;247.64
41;6;17.69
42;5;3.79
43;4;8.96
44;5;1.07
45;6;1.27
46;4;228.95
47;6;148.53
48;4;1.34
49;5;555.15
50;3;17.83
51;4;109.12
52;4;71.37
53;5;292.99
54;6;0.96
55;4;6.52
56;4;18.93
57;4;59.28
58;5;403.16
59;4;4.97
60;4;15.76
61;4;11.85
62;4;12.05
63;4;0.00
64;4;151.89
65;4;23.68
66;6;349.29
67;4;157.55
68;4;9.71
69;4;56.34
70;5;19.69
71;6;209.93
72;6;487.04
73;6;231.37
74;6;81.90
75;7;82.22
76;6;430.10
77;5;218.88
78;5;0.53
79;6;9.57
80;4;0.67
81;4;3.97
82;7;3.88
83;6;21.15
84;7;310.11
85;4;42.08
86;6;185.30
87;5;5.31
88;5;0.20
89;5;0.82
90;5;5.55
91;6;21.22
92;3;0.00
93;5;81.38
94;4;68.71
95;4;38.07
96;5;3.96
97;5;3.35
98;5;1.94
99;6;212.64
100;6;38.13
101;4;5.05
102;4;219.57
103;2;0.00
104;2;8.10
Spearmans correlation;0.62
